id;name;address;phone;logo;logo_content_type;mail;webaddress;sponsorship_amount;active
1;Borders;driver port Associate;965.647.1134 x0867;../fake-data/blob/hipster.png;image/png;Pants SMS innovate;synthesize Jamaica;8259;false
2;Maryland Incredible Branch;Buckinghamshire;530.734.4558 x386;../fake-data/blob/hipster.png;image/png;North encoding;feed TCP Walks;70282;true
3;Designer;Operations deposit Overpass;844-381-0460;../fake-data/blob/hipster.png;image/png;grey withdrawal Shoes;quantify;781;true
4;Bedfordshire;hacking;(339) 388-8118;../fake-data/blob/hipster.png;image/png;alarm Greenland Investment;deposit Avon;44460;true
5;transmit Graphic methodology;THX;818-861-8184 x985;../fake-data/blob/hipster.png;image/png;and;Switchable;59681;true
6;evolve Spring Generic;Rubber Handmade generating;(799) 363-6281 x748;../fake-data/blob/hipster.png;image/png;interface;cutting-edge reintermediate;22604;false
7;Korea;Fantastic;(524) 822-0309;../fake-data/blob/hipster.png;image/png;systems navigating orchestrate;Bahamas Account Developer;97057;false
8;feed;monitor microchip;1-262-452-1225 x9451;../fake-data/blob/hipster.png;image/png;Buckinghamshire Tunnel;optical;95034;true
9;open Account neural;paradigms;716.533.2590;../fake-data/blob/hipster.png;image/png;innovative;Gloves up holistic;39715;false
10;multi-byte Cambridgeshire navigating;Metal Wooden harness;261-283-8438 x574;../fake-data/blob/hipster.png;image/png;content York;Investment;98152;true
